Designator,Footprint,Quantity,Value,Link #
"C1, C10, C11, C13, C15, C17, C2",0603,7,0.1uF,https://jlcpcb.com/parts/componentSearch?searchTxt=c14663,
"C12, C14, C16, C18, C9",0805,5,10uF,https://jlcpcb.com/partdetail/16532-CL21A106KAYNNNE/C15850,
"C3, C4, C5",0805,3,4.7uF,https://jlcpcb.com/partdetail/2131-CL21A475KAQNNNE/C1779,
"J1, J2, J5",USB_C_Receptacle_HRO_TYPE-C-31-M-12,3,USB_C_Receptacle_USB2.0_16P,https://jlcpcb.com/partdetail/Korean_HropartsElec-TYPE_C_31_M12/C165948,
"J3, J4",USB_A_Molex_67643_Horizontal,2,USB_A,https://jlcpcb.com/partdetail/MOLEX-676432911/C293351,
"R10, R7, R8, R9",0603,4,56k,https://jlcpcb.com/partdetail/23933-0603WAF5602T5E/C23206,
R11,0603,1,4.7R,https://jlcpcb.com/parts/componentSearch?searchTxt=c23164,
"R5, R6",0603,2,5.1k,https://jlcpcb.com/parts/componentSearch?searchTxt=c23186,
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,SL2.1A,https://jlcpcb.com/partdetail/CoreChips-SL21A/C6798314,
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,12mHz/20pF/20PPM,https://jlcpcb.com/partdetail/SST-S503212M20PF20PPMB/C7426819,